week_start,week_of_year,category,district,season_factor,demand_kg,is_demo_sample
2024-01-01,1,Vegetables,Coimbatore,1.04,1512.7,True
2024-01-01,1,Vegetables,Madurai,1.04,1371.0,True
2024-01-01,1,Vegetables,Chennai,1.04,2125.1,True
2024-01-01,1,Vegetables,Erode,1.04,1516.6,True
2024-01-01,1,Vegetables,Thanjavur,1.04,1913.5,True
2024-01-01,1,Fruits,Coimbatore,1.04,1341.3,True
2024-01-01,1,Fruits,Madurai,1.04,1202.0,True
2024-01-01,1,Fruits,Chennai,1.04,1436.7,True
2024-01-01,1,Fruits,Erode,1.04,992.9,True
2024-01-01,1,Fruits,Thanjavur,1.04,1249.4,True
2024-01-01,1,Grains & Pulses,Coimbatore,1.04,2628.6,True
2024-01-01,1,Grains & Pulses,Madurai,1.04,2480.9,True
2024-01-01,1,Grains & Pulses,Chennai,1.04,3166.3,True
2024-01-01,1,Grains & Pulses,Erode,1.04,2541.5,True
2024-01-01,1,Grains & Pulses,Thanjavur,1.04,2523.1,True
2024-01-01,1,Spices & Herbs,Coimbatore,1.04,526.9,True
2024-01-01,1,Spices & Herbs,Madurai,1.04,513.0,True
2024-01-01,1,Spices & Herbs,Chennai,1.04,576.6,True
2024-01-01,1,Spices & Herbs,Erode,1.04,485.5,True
2024-01-01,1,Spices & Herbs,Thanjavur,1.04,566.4,True
2024-01-01,1,Nuts & Oilseeds,Coimbatore,1.04,704.6,True
2024-01-01,1,Nuts & Oilseeds,Madurai,1.04,701.2,True
2024-01-01,1,Nuts & Oilseeds,Chennai,1.04,1062.2,True
2024-01-01,1,Nuts & Oilseeds,Erode,1.04,665.0,True
2024-01-01,1,Nuts & Oilseeds,Thanjavur,1.04,840.2,True
2024-01-08,2,Vegetables,Coimbatore,1.07,1828.1,True
2024-01-08,2,Vegetables,Madurai,1.07,1857.1,True
2024-01-08,2,Vegetables,Chennai,1.07,1890.0,True
2024-01-08,2,Vegetables,Erode,1.07,1407.8,True
2024-01-08,2,Vegetables,Thanjavur,1.07,1633.2,True
2024-01-08,2,Fruits,Coimbatore,1.07,1313.7,True
2024-01-08,2,Fruits,Madurai,1.07,1017.4,True
2024-01-08,2,Fruits,Chennai,1.07,1412.9,True
2024-01-08,2,Fruits,Erode,1.07,1066.5,True
2024-01-08,2,Fruits,Thanjavur,1.07,1191.1,True
2024-01-08,2,Grains & Pulses,Coimbatore,1.07,2415.5,True
2024-01-08,2,Grains & Pulses,Madurai,1.07,2475.4,True
2024-01-08,2,Grains & Pulses,Chennai,1.07,3038.8,True
2024-01-08,2,Grains & Pulses,Erode,1.07,2552.6,True
2024-01-08,2,Grains & Pulses,Thanjavur,1.07,2991.4,True
2024-01-08,2,Spices & Herbs,Coimbatore,1.07,588.4,True
2024-01-08,2,Spices & Herbs,Madurai,1.07,462.8,True
2024-01-08,2,Spices & Herbs,Chennai,1.07,767.4,True
2024-01-08,2,Spices & Herbs,Erode,1.07,450.2,True
2024-01-08,2,Spices & Herbs,Thanjavur,1.07,488.6,True
2024-01-08,2,Nuts & Oilseeds,Coimbatore,1.07,909.2,True
2024-01-08,2,Nuts & Oilseeds,Madurai,1.07,852.5,True
2024-01-08,2,Nuts & Oilseeds,Chennai,1.07,912.4,True
2024-01-08,2,Nuts & Oilseeds,Erode,1.07,768.9,True
2024-01-08,2,Nuts & Oilseeds,Thanjavur,1.07,895.8,True
2024-01-15,3,Vegetables,Coimbatore,1.11,1992.4,True
2024-01-15,3,Vegetables,Madurai,1.11,1562.6,True
2024-01-15,3,Vegetables,Chennai,1.11,1969.6,True
2024-01-15,3,Vegetables,Erode,1.11,1543.7,True
2024-01-15,3,Vegetables,Thanjavur,1.11,1736.7,True
2024-01-15,3,Fruits,Coimbatore,1.11,1427.4,True
2024-01-15,3,Fruits,Madurai,1.11,1137.6,True
2024-01-15,3,Fruits,Chennai,1.11,1461.9,True
2024-01-15,3,Fruits,Erode,1.11,979.8,True
2024-01-15,3,Fruits,Thanjavur,1.11,1041.0,True
2024-01-15,3,Grains & Pulses,Coimbatore,1.11,3169.0,True
2024-01-15,3,Grains & Pulses,Madurai,1.11,2496.1,True
2024-01-15,3,Grains & Pulses,Chennai,1.11,2928.0,True
2024-01-15,3,Grains & Pulses,Erode,1.11,2731.9,True
2024-01-15,3,Grains & Pulses,Thanjavur,1.11,2691.8,True
2024-01-15,3,Spices & Herbs,Coimbatore,1.11,574.5,True
2024-01-15,3,Spices & Herbs,Madurai,1.11,502.3,True
2024-01-15,3,Spices & Herbs,Chennai,1.11,788.6,True
2024-01-15,3,Spices & Herbs,Erode,1.11,527.7,True
2024-01-15,3,Spices & Herbs,Thanjavur,1.11,504.2,True
2024-01-15,3,Nuts & Oilseeds,Coimbatore,1.11,892.3,True
2024-01-15,3,Nuts & Oilseeds,Madurai,1.11,720.0,True
2024-01-15,3,Nuts & Oilseeds,Chennai,1.11,883.9,True
2024-01-15,3,Nuts & Oilseeds,Erode,1.11,628.9,True
2024-01-15,3,Nuts & Oilseeds,Thanjavur,1.11,913.6,True
2024-01-22,4,Vegetables,Coimbatore,1.14,2019.3,True
2024-01-22,4,Vegetables,Madurai,1.14,1827.2,True
2024-01-22,4,Vegetables,Chennai,1.14,2052.4,True
2024-01-22,4,Vegetables,Erode,1.14,1463.2,True
2024-01-22,4,Vegetables,Thanjavur,1.14,1610.9,True
2024-01-22,4,Fruits,Coimbatore,1.14,1371.5,True
2024-01-22,4,Fruits,Madurai,1.14,1133.3,True
2024-01-22,4,Fruits,Chennai,1.14,1417.7,True
2024-01-22,4,Fruits,Erode,1.14,1136.7,True
2024-01-22,4,Fruits,Thanjavur,1.14,1139.4,True
2024-01-22,4,Grains & Pulses,Coimbatore,1.14,3073.5,True
2024-01-22,4,Grains & Pulses,Madurai,1.14,2935.2,True
2024-01-22,4,Grains & Pulses,Chennai,1.14,3839.0,True
2024-01-22,4,Grains & Pulses,Erode,1.14,2781.1,True
2024-01-22,4,Grains & Pulses,Thanjavur,1.14,2762.8,True
2024-01-22,4,Spices & Herbs,Coimbatore,1.14,700.9,True
2024-01-22,4,Spices & Herbs,Madurai,1.14,628.9,True
2024-01-22,4,Spices & Herbs,Chennai,1.14,777.8,True
2024-01-22,4,Spices & Herbs,Erode,1.14,500.9,True
2024-01-22,4,Spices & Herbs,Thanjavur,1.14,504.4,True
2024-01-22,4,Nuts & Oilseeds,Coimbatore,1.14,1018.1,True
2024-01-22,4,Nuts & Oilseeds,Madurai,1.14,863.0,True
2024-01-22,4,Nuts & Oilseeds,Chennai,1.14,904.3,True
2024-01-22,4,Nuts & Oilseeds,Erode,1.14,778.3,True
2024-01-22,4,Nuts & Oilseeds,Thanjavur,1.14,973.7,True
2024-01-29,5,Vegetables,Coimbatore,1.17,2233.8,True
2024-01-29,5,Vegetables,Madurai,1.17,1930.5,True
2024-01-29,5,Vegetables,Chennai,1.17,2359.1,True
2024-01-29,5,Vegetables,Erode,1.17,1737.9,True
2024-01-29,5,Vegetables,Thanjavur,1.17,1839.6,True
2024-01-29,5,Fruits,Coimbatore,1.17,1340.3,True
2024-01-29,5,Fruits,Madurai,1.17,1089.5,True
2024-01-29,5,Fruits,Chennai,1.17,1383.1,True
2024-01-29,5,Fruits,Erode,1.17,1195.6,True
2024-01-29,5,Fruits,Thanjavur,1.17,1142.4,True
2024-01-29,5,Grains & Pulses,Coimbatore,1.17,2884.3,True
2024-01-29,5,Grains & Pulses,Madurai,1.17,2436.9,True
2024-01-29,5,Grains & Pulses,Chennai,1.17,3961.0,True
2024-01-29,5,Grains & Pulses,Erode,1.17,2343.7,True
2024-01-29,5,Grains & Pulses,Thanjavur,1.17,2603.4,True
2024-01-29,5,Spices & Herbs,Coimbatore,1.17,558.6,True
2024-01-29,5,Spices & Herbs,Madurai,1.17,631.4,True
2024-01-29,5,Spices & Herbs,Chennai,1.17,672.2,True
2024-01-29,5,Spices & Herbs,Erode,1.17,458.4,True
2024-01-29,5,Spices & Herbs,Thanjavur,1.17,648.1,True
2024-01-29,5,Nuts & Oilseeds,Coimbatore,1.17,1046.3,True
2024-01-29,5,Nuts & Oilseeds,Madurai,1.17,856.3,True
